ID,IID,Title,Description,Type,URL,State,Confidential,Locked,Milestone,Labels,Author,Author Username,Assignee,Assignee Username,Created At (UTC),Updated At (UTC),Closed At (UTC),Due Date,Start Date,Parent ID,Parent IID,Parent Title,Time Estimate,Time Spent,Weight
191122492,1,Spike : Analyse des modèles du marché et conception du schéma de données,"### 🔍 Objectif d'étude & recherche
Analyser comment Asana, Monday et Notion structurent leurs templates de projets afin de concevoir un schéma PostgreSQL flexible et hautement performant.

### 📦 Livrables attendus
- Modèle Conceptuel des Données (MCD) validé par Max
- POC en Node.js de sérialisation JSON",Issue,https://gitlab.com/philippe.pary.astek/backlog-formation-popm/-/work_items/1,Closed,No,No,,"Feature::C - Templates, Priority::Medium, Type::Spike",Philippe Pary,philippe.pary.astek,"","",2026-05-27 13:25:40,2026-05-27 13:25:41,2026-05-27 13:25:41,,,,,,,,
191122495,2,US : Créer un projet à partir d'un template vierge,"### 👤 Rôle utilisateur
**En tant que** gestionnaire de projet
**Je souhaite** créer un projet entièrement vide avec des paramètres par défaut
**Afin de** partir d'une feuille blanche sans tâches prédéfinies

### 📋 Critères d'acceptation (Gherkin / Règles)
- Étant donné un utilisateur sur l'écran d'accueil
- Quand il clique sur 'Nouveau projet vierge'
- Alors un projet vide est instantanément créé avec lui comme propriétaire

### 🛠️ DoD (Definition of Done)
- [ ] Code propre, documenté et testé unitairement (couverture > 80%)
- [ ] Revue de code approuvée par un développeur senior (Sarah ou Max)
- [ ] Changements vérifiés en environnement de QA (Julie)
- [ ] Aucune régression sur le dashboard ou le mode hors-ligne",Issue,https://gitlab.com/philippe.pary.astek/backlog-formation-popm/-/work_items/2,Closed,No,No,,"Feature::C - Templates, Priority::High, Type::User Story",Philippe Pary,philippe.pary.astek,"","",2026-05-27 13:25:42,2026-05-27 13:25:43,2026-05-27 13:25:42,,,,,,,,
191122499,3,Mise en place des tables PostgreSQL pour les templates et tâches génériques,"### 🛡️ Problématique technique (Dette accumulée)
La base de données n'a pas de structure pour stocker les métadonnées et la liste ordonnée des tâches d'un modèle.

### 💡 Solution proposée
Création des tables `project_templates` et `template_tasks` avec indexation sur la catégorie.

### ⚡ Impact attendu
- Temps d'insertion de template < 50ms
- Support des relations parent-enfant pour les sous-tâches",Issue,https://gitlab.com/philippe.pary.astek/backlog-formation-popm/-/work_items/3,Closed,No,No,,"Feature::C - Templates, Priority::High, Type::Tech Debt",Philippe Pary,philippe.pary.astek,"","",2026-05-27 13:25:43,2026-05-27 13:25:44,2026-05-27 13:25:44,,,,,,,,
191122500,4,US : Créer un projet à partir du template prédéfini 'Développement Scrum',"### 👤 Rôle utilisateur
**En tant que** Scrum Master
**Je souhaite** créer un projet préconfiguré avec les rituels Scrum (Backlog, Sprint Planning, Daily, Review, Rétro)
**Afin de** lancer immédiatement des sprints sans tout configurer manuellement

### 📋 Critères d'acceptation (Gherkin / Règles)
- Le projet contient 5 colonnes Kanban standards : To Do, In Progress, In Review, QA, Done
- Les 5 réunions récurrentes sont planifiées automatiquement en placeholders

### 🛠️ DoD (Definition of Done)
- [ ] Code propre, documenté et testé unitairement (couverture > 80%)
- [ ] Revue de code approuvée par un développeur senior (Sarah ou Max)
- [ ] Changements vérifiés en environnement de QA (Julie)
- [ ] Aucune régression sur le dashboard ou le mode hors-ligne",Issue,https://gitlab.com/philippe.pary.astek/backlog-formation-popm/-/work_items/4,Closed,No,No,,"Feature::C - Templates, Priority::High, Type::User Story",Philippe Pary,philippe.pary.astek,"","",2026-05-27 13:25:45,2026-05-27 13:25:46,2026-05-27 13:25:45,,,,,,,,
191122502,5,US : Créer un projet à partir du template prédéfini 'Lancement Marketing',"### 👤 Rôle utilisateur
**En tant que** chef de projet marketing
**Je souhaite** créer un projet contenant des tâches d'études de marché, création d'assets visuels et plans médias
**Afin de** structurer la campagne selon les meilleures pratiques du secteur

### 📋 Critères d'acceptation (Gherkin / Règles)
- Contient au moins 15 tâches types catégorisées par phases
- Attribution automatique des tâches à des profils virtuels

### 🛠️ DoD (Definition of Done)
- [ ] Code propre, documenté et testé unitairement (couverture > 80%)
- [ ] Revue de code approuvée par un développeur senior (Sarah ou Max)
- [ ] Changements vérifiés en environnement de QA (Julie)
- [ ] Aucune régression sur le dashboard ou le mode hors-ligne",Issue,https://gitlab.com/philippe.pary.astek/backlog-formation-popm/-/work_items/5,Closed,No,No,,"Feature::C - Templates, Priority::High, Type::User Story",Philippe Pary,philippe.pary.astek,"","",2026-05-27 13:25:47,2026-05-27 13:25:48,2026-05-27 13:25:47,,,,,,,,
191122507,6,US : Créer un projet à partir du template prédéfini 'Recrutement RH',"### 👤 Rôle utilisateur
**En tant que** responsable RH
**Je souhaite** créer un tableau de suivi des candidats avec les étapes de recrutement (Sourcing, Entretien, Offre, Onboarding)
**Afin de** avoir un pipeline visuel standardisé pour chaque recrutement

### 📋 Critères d'acceptation (Gherkin / Règles)
- Le tableau Kanban possède des colonnes spécifiques RH
- Contient des checklists d'onboarding par défaut

### 🛠️ DoD (Definition of Done)
- [ ] Code propre, documenté et testé unitairement (couverture > 80%)
- [ ] Revue de code approuvée par un développeur senior (Sarah ou Max)
- [ ] Changements vérifiés en environnement de QA (Julie)
- [ ] Aucune régression sur le dashboard ou le mode hors-ligne",Issue,https://gitlab.com/philippe.pary.astek/backlog-formation-popm/-/work_items/6,Closed,No,No,,"Feature::C - Templates, Priority::High, Type::User Story",Philippe Pary,philippe.pary.astek,"","",2026-05-27 13:25:48,2026-05-27 13:25:49,2026-05-27 13:25:49,,,,,,,,
191122508,7,US : Sauvegarder un projet existant en tant que template réutilisable,"### 👤 Rôle utilisateur
**En tant que** administrateur de projet
**Je souhaite** cliquer sur un bouton pour cloner la structure complète de mon projet actif (colonnes, tâches types, rôles) comme un nouveau modèle
**Afin de** répliquer facilement nos processus internes réussis sur de futurs projets

### 📋 Critères d'acceptation (Gherkin / Règles)
- L'utilisateur nomme le template
- Les données d'utilisateurs réels (noms, dates de tâches) sont purgées
- Seule la structure et les checklists sont conservées

### 🛠️ DoD (Definition of Done)
- [ ] Code propre, documenté et testé unitairement (couverture > 80%)
- [ ] Revue de code approuvée par un développeur senior (Sarah ou Max)
- [ ] Changements vérifiés en environnement de QA (Julie)
- [ ] Aucune régression sur le dashboard ou le mode hors-ligne",Issue,https://gitlab.com/philippe.pary.astek/backlog-formation-popm/-/work_items/7,Closed,No,No,,"Feature::C - Templates, Priority::Medium, Type::User Story",Philippe Pary,philippe.pary.astek,"","",2026-05-27 13:25:50,2026-05-27 13:25:51,2026-05-27 13:25:50,,,,,,,,
191122511,8,US : Partager un template de projet personnalisé au sein de l'organisation,"### 👤 Rôle utilisateur
**En tant que** administrateur
**Je souhaite** rendre un template créé par moi visible et utilisable par tous les membres de mon entreprise
**Afin de** diffuser les bonnes pratiques au sein de toutes les équipes

### 📋 Critères d'acceptation (Gherkin / Règles)
- Toggle 'Partager avec l'organisation'
- Seuls les administrateurs du compte peuvent valider et publier le template

### 🛠️ DoD (Definition of Done)
- [ ] Code propre, documenté et testé unitairement (couverture > 80%)
- [ ] Revue de code approuvée par un développeur senior (Sarah ou Max)
- [ ] Changements vérifiés en environnement de QA (Julie)
- [ ] Aucune régression sur le dashboard ou le mode hors-ligne",Issue,https://gitlab.com/philippe.pary.astek/backlog-formation-popm/-/work_items/8,Closed,No,No,,"Feature::C - Templates, Priority::Medium, Type::User Story",Philippe Pary,philippe.pary.astek,"","",2026-05-27 13:25:51,2026-05-27 13:25:52,2026-05-27 13:25:52,,,,,,,,
191122514,9,Bug : Les rôles et permissions ne sont pas dupliqués lors de la création depuis un template,"### 🚨 Description de l'anomalie
Un dysfonctionnement a été signalé par les utilisateurs ou l'équipe QA.

### 🎯 Comportement attendu
Lorsqu'on crée un projet depuis le template 'Développement Scrum', le rôle de Scrum Master doit être assigné au créateur du projet.

### ⚠️ Comportement observé
Tout le monde est membre simple du projet créé, personne n'a les permissions d'administration par défaut.

### 🔄 Étapes de reproduction
1. Créer un projet avec le template Scrum
2. Tenter de modifier le workflow Kanban
3. Bouton grisé car permissions non héritées

### 💻 Environnement
- Safari mobile (iPad iOS 16)
- Chrome desktop macOS",Issue,https://gitlab.com/philippe.pary.astek/backlog-formation-popm/-/work_items/9,Closed,No,No,,"Feature::C - Templates, Priority::High, Type::Bug",Philippe Pary,philippe.pary.astek,"","",2026-05-27 13:25:53,2026-05-27 13:25:53,2026-05-27 13:25:53,,,,,,,,
191122516,10,US : Bibliothèque de 10 templates standards pour toutes les équipes,"### 👤 Rôle utilisateur
**En tant que** nouvel utilisateur de TaskFlow
**Je souhaite** accéder à un catalogue de 10 templates préinstallés couvrant l'Agile, le cycle en V, la création de contenu et la vente
**Afin de** réduire le taux d'abandon du produit lors de la première heure d'utilisation (onboarding)

### 📋 Critères d'acceptation (Gherkin / Règles)
- Bibliothèque visuelle avec prévisualisation des tâches avant création
- Filtres par département (R&D, RH, Marketing, Sales)

### 🛠️ DoD (Definition of Done)
- [ ] Code propre, documenté et testé unitairement (couverture > 80%)
- [ ] Revue de code approuvée par un développeur senior (Sarah ou Max)
- [ ] Changements vérifiés en environnement de QA (Julie)
- [ ] Aucune régression sur le dashboard ou le mode hors-ligne",Issue,https://gitlab.com/philippe.pary.astek/backlog-formation-popm/-/work_items/10,Closed,No,No,,"Feature::C - Templates, Priority::High, Type::User Story",Philippe Pary,philippe.pary.astek,"","",2026-05-27 13:25:54,2026-05-27 13:25:55,2026-05-27 13:25:55,,,,,,,,
